department,cgpa,aptitudeScore,communicationScore,internshipExperience,certifications,skillsCount,placed,package
IT,8.62,69,40,0,2,4,1,8.7
ECE,7.61,68,65,1,4,3,1,10.42
ECE,8.53,69,80,3,0,3,1,12.77
CIVIL,7.99,74,94,1,1,5,1,9.73
EEE,7.63,69,64,1,0,1,1,8.26
ECE,6.37,64,87,0,0,6,0,5.9
CSE,6.53,74,95,1,3,4,1,9.11
IT,5.47,61,64,1,0,2,0,6.4
IT,7.29,75,61,0,1,2,1,7.75
CIVIL,9.85,69,67,0,2,4,1,9.54
MECH,6.64,80,68,0,2,3,0,5.11
CIVIL,5.43,83,86,0,1,1,0,3.44
MECH,8.67,83,58,0,1,3,1,8.83
CIVIL,9.93,75,93,0,1,2,1,9.71
CIVIL,8.07,77,57,1,3,7,1,12.53
CIVIL,8.06,68,51,0,1,4,1,7.46
MECH,7.52,80,77,0,1,7,1,6.46
MECH,6.19,81,88,2,0,3,1,7.13
CIVIL,6.49,53,72,1,0,3,0,7.25
ECE,7.51,76,76,1,1,5,1,10.07
EEE,7.34,88,99,0,3,5,1,6.89
EEE,7.7,67,88,1,2,5,1,11.16
EEE,8.55,65,70,0,4,2,1,9.93
MECH,7.28,66,63,1,1,2,1,7.98
MECH,8.56,53,86,0,2,3,1,8.18
ECE,7.28,73,82,1,2,7,1,11.41
EEE,8.73,72,76,0,1,2,1,8.7
EEE,7.88,74,65,1,0,3,1,8.85
CIVIL,7.41,76,68,1,1,5,1,8.5
MECH,7.86,62,67,0,2,5,1,9.73
EEE,7.54,75,65,0,0,5,1,6.87
IT,7.9,77,60,1,3,4,1,10.82
ECE,8.48,66,73,3,0,2,1,12.54
IT,7.72,77,60,1,1,3,1,8.25
IT,7.47,72,72,0,1,6,0,7.92
ECE,6.79,64,40,0,1,6,0,7.4
IT,8.32,75,61,2,1,1,1,10.43
EEE,8.11,68,86,1,3,6,1,11.62
MECH,6.74,80,56,1,1,7,1,8.93
ECE,8.55,69,78,2,0,4,1,12.09
CIVIL,6.72,56,57,2,1,5,1,9.83
IT,8.73,75,81,1,0,6,1,10.55
ECE,8.42,74,65,0,0,3,0,7.65
CSE,8.18,59,64,0,0,9,1,8.56
CSE,7.46,81,70,1,2,6,1,9.39
MECH,8.32,80,49,0,1,5,1,7.85
EEE,8.77,61,84,0,1,4,1,8.95
MECH,8.33,64,89,0,0,5,1,7.61
